obj_id,class_name,img_path,target
0,Albov_NA,C:/Users/getbb/Documents/classification_pipeline/images/my_dataset//Albov_NA/0.jpg,0
1,Albov_NA,C:/Users/getbb/Documents/classification_pipeline/images/my_dataset//Albov_NA/1.jpg,0
2,Albov_NA,C:/Users/getbb/Documents/classification_pipeline/images/my_dataset//Albov_NA/10.jpg,0
3,Albov_NA,C:/Users/getbb/Documents/classification_pipeline/images/my_dataset//Albov_NA/100.jpg,0
4,Albov_NA,C:/Users/getbb/Documents/classification_pipeline/images/my_dataset//Albov_NA/101.jpg,0
5,Albov_NA,C:/Users/getbb/Documents/classification_pipeline/images/my_dataset//Albov_NA/102.jpg,0
6,Albov_NA,C:/Users/getbb/Documents/classification_pipeline/images/my_dataset//Albov_NA/103.jpg,0
7,Albov_NA,C:/Users/getbb/Documents/classification_pipeline/images/my_dataset//Albov_NA/104.jpg,0
8,Albov_NA,C:/Users/getbb/Documents/classification_pipeline/images/my_dataset//Albov_NA/105.jpg,0
9,Albov_NA,C:/Users/getbb/Documents/classification_pipeline/images/my_dataset//Albov_NA/106.jpg,0
10,Albov_NA,C:/Users/getbb/Documents/classification_pipeline/images/my_dataset//Albov_NA/107.jpg,0
11,Albov_NA,C:/Users/getbb/Documents/classification_pipeline/images/my_dataset//Albov_NA/108.jpg,0
12,Albov_NA,C:/Users/getbb/Documents/classification_pipeline/images/my_dataset//Albov_NA/109.jpg,0
13,Albov_NA,C:/Users/getbb/Documents/classification_pipeline/images/my_dataset//Albov_NA/11.jpg,0
14,Albov_NA,C:/Users/getbb/Documents/classification_pipeline/images/my_dataset//Albov_NA/110.jpg,0
15,Albov_NA,C:/Users/getbb/Documents/classification_pipeline/images/my_dataset//Albov_NA/111.jpg,0
16,Albov_NA,C:/Users/getbb/Documents/classification_pipeline/images/my_dataset//Albov_NA/112.jpg,0
17,Albov_NA,C:/Users/getbb/Documents/classification_pipeline/images/my_dataset//Albov_NA/113.jpg,0
18,Albov_NA,C:/Users/getbb/Documents/classification_pipeline/images/my_dataset//Albov_NA/114.jpg,0
19,Albov_NA,C:/Users/getbb/Documents/classification_pipeline/images/my_dataset//Albov_NA/115.jpg,0
20,Albov_NA,C:/Users/getbb/Documents/classification_pipeline/images/my_dataset//Albov_NA/116.jpg,0
21,Albov_NA,C:/Users/getbb/Documents/classification_pipeline/images/my_dataset//Albov_NA/117.jpg,0
22,Albov_NA,C:/Users/getbb/Documents/classification_pipeline/images/my_dataset//Albov_NA/118.jpg,0
23,Albov_NA,C:/Users/getbb/Documents/classification_pipeline/images/my_dataset//Albov_NA/119.jpg,0
24,Albov_NA,C:/Users/getbb/Documents/classification_pipeline/images/my_dataset//Albov_NA/12.jpg,0
25,Albov_NA,C:/Users/getbb/Documents/classification_pipeline/images/my_dataset//Albov_NA/120.jpg,0
26,Albov_NA,C:/Users/getbb/Documents/classification_pipeline/images/my_dataset//Albov_NA/121.jpg,0
27,Albov_NA,C:/Users/getbb/Documents/classification_pipeline/images/my_dataset//Albov_NA/122.jpg,0
28,Albov_NA,C:/Users/getbb/Documents/classification_pipeline/images/my_dataset//Albov_NA/123.jpg,0
29,Albov_NA,C:/Users/getbb/Documents/classification_pipeline/images/my_dataset//Albov_NA/124.jpg,0
30,Albov_NA,C:/Users/getbb/Documents/classification_pipeline/images/my_dataset//Albov_NA/125.jpg,0
31,Albov_NA,C:/Users/getbb/Documents/classification_pipeline/images/my_dataset//Albov_NA/126.jpg,0
32,Albov_NA,C:/Users/getbb/Documents/classification_pipeline/images/my_dataset//Albov_NA/127.jpg,0
33,Albov_NA,C:/Users/getbb/Documents/classification_pipeline/images/my_dataset//Albov_NA/128.jpg,0
34,Albov_NA,C:/Users/getbb/Documents/classification_pipeline/images/my_dataset//Albov_NA/129.jpg,0
35,Albov_NA,C:/Users/getbb/Documents/classification_pipeline/images/my_dataset//Albov_NA/13.jpg,0
36,Albov_NA,C:/Users/getbb/Documents/classification_pipeline/images/my_dataset//Albov_NA/130.jpg,0
37,Albov_NA,C:/Users/getbb/Documents/classification_pipeline/images/my_dataset//Albov_NA/131.jpg,0
38,Albov_NA,C:/Users/getbb/Documents/classification_pipeline/images/my_dataset//Albov_NA/132.jpg,0
39,Albov_NA,C:/Users/getbb/Documents/classification_pipeline/images/my_dataset//Albov_NA/133.jpg,0
40,Albov_NA,C:/Users/getbb/Documents/classification_pipeline/images/my_dataset//Albov_NA/134.jpg,0
41,Albov_NA,C:/Users/getbb/Documents/classification_pipeline/images/my_dataset//Albov_NA/135.jpg,0
42,Albov_NA,C:/Users/getbb/Documents/classification_pipeline/images/my_dataset//Albov_NA/136.jpg,0
43,Albov_NA,C:/Users/getbb/Documents/classification_pipeline/images/my_dataset//Albov_NA/137.jpg,0
44,Albov_NA,C:/Users/getbb/Documents/classification_pipeline/images/my_dataset//Albov_NA/138.jpg,0
45,Albov_NA,C:/Users/getbb/Documents/classification_pipeline/images/my_dataset//Albov_NA/139.jpg,0
46,Albov_NA,C:/Users/getbb/Documents/classification_pipeline/images/my_dataset//Albov_NA/140.jpg,0
